Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,0.1uF,
"D1, D2, D3",0805,3,LED,
IC1,QFP50P900X900X160-48N,1,FPGA_MSXtR_Portable_Keyboard,
J1,PinSocket_1x06_P2.54mm_Vertical,1,ST-LINK,
J2,HW4-2.0-90D,1,groove,
"R10, R11, R16, R17, R9",0805,5,3.3K,
"R12, R13",0805,2,150,
"R14, R15",0805,2,10K,
SW1,Tact_SW,1,KEY_0,
SW10,Tact_SW,1,KEY_9,
SW11,Tact_SW,1,KEY_MINUS,
SW12,Tact_SW,1,KEY_HAT,
SW13,Tact_SW,1,KEY_YEN,
SW14,Tact_SW,1,KEY_AT,
SW15,Tact_SW,1,KEY_BRACE_L,
SW16,Tact_SW,1,KEY_SEMI,
SW17,Tact_SW,1,KEY_COLON,
SW18,Tact_SW,1,KEY_BRACE_R,
SW19,Tact_SW,1,KEY_COMMA,
SW2,Tact_SW,1,KEY_1,
SW20,Tact_SW,1,KEY_PERIOD,
SW21,Tact_SW,1,KEY_SLASH,
SW22,Tact_SW,1,KEY_UBAR,
SW23,Tact_SW,1,KEY_A,
SW24,Tact_SW,1,KEY_B,
SW25,Tact_SW,1,KEY_C,
SW26,Tact_SW,1,KEY_D,
SW27,Tact_SW,1,KEY_E,
SW28,Tact_SW,1,KEY_F,
SW29,Tact_SW,1,KEY_G,
SW3,Tact_SW,1,KEY_2,
SW30,Tact_SW,1,KEY_H,
SW31,Tact_SW,1,KEY_I,
SW32,Tact_SW,1,KEY_J,
SW33,Tact_SW,1,KEY_K,
SW34,Tact_SW,1,KEY_L,
SW35,Tact_SW,1,KEY_M,
SW36,Tact_SW,1,KEY_N,
SW37,Tact_SW,1,KEY_O,
SW38,Tact_SW,1,KEY_P,
SW39,Tact_SW,1,KEY_Q,
SW4,Tact_SW,1,KEY_3,
SW40,Tact_SW,1,KEY_R,
SW41,Tact_SW,1,KEY_S,
SW42,Tact_SW,1,KEY_T,
SW43,Tact_SW,1,KEY_U,
SW44,Tact_SW,1,KEY_V,
SW45,Tact_SW,1,KEY_W,
SW46,Tact_SW,1,KEY_X,
SW47,Tact_SW,1,KEY_Y,
SW48,Tact_SW,1,KEY_Z,
SW49,Tact_SW,1,KEY_SHIFT,
SW5,Tact_SW,1,KEY_4,
SW50,Tact_SW,1,KEY_CTRL,
SW51,Tact_SW,1,KEY_GRAPH,
SW52,Tact_SW,1,KEY_CAPS,
SW53,Tact_SW,1,KEY_KANA,
SW54,Tact_SW,1,KEY_F1,
SW55,Tact_SW,1,KEY_F2,
SW56,Tact_SW,1,KEY_F3,
SW57,Tact_SW,1,KEY_F4,
SW58,Tact_SW,1,KEY_F5,
SW59,Tact_SW,1,KEY_ESC,
SW6,Tact_SW,1,KEY_5,
SW60,Tact_SW,1,KEY_TAB,
SW61,Tact_SW,1,KEY_STOP,
SW62,Tact_SW,1,KEY_BS,
SW63,Tact_SW,1,KEY_SELECT,
SW64,Tact_SW,1,KEY_RETURN,
SW65,Tact_SW,1,KEY_SPACE,
SW66,Tact_SW,1,KEY_HOME,
SW67,Tact_SW,1,KEY_INS,
SW68,Tact_SW,1,KEY_DEL,
SW69,Tact_SW,1,KEY_LEFT,
SW7,Tact_SW,1,KEY_6,
SW70,Tact_SW,1,KEY_UP,
SW71,Tact_SW,1,KEY_DOWN,
SW72,Tact_SW,1,KEY_RIGHT,
SW73,Tact_SW,1,KEY_MENU,
SW8,Tact_SW,1,KEY_7,
SW9,Tact_SW,1,KEY_8,
