Designator,Mid X,Mid Y,Rotation,Layer
C2,80.8,72.136,0.0,top
C3,84.582,74.902,270.0,top
C4,90.65,60.805,270.0,top
C5,90.805,50.645,270.0,top
D1,8.89,54.5315,90.0,top
R1,8.89,51.306,270.0,top
R10,16.51,55.12,270.0,top
R11,65.28,28.956,0.0,top
R2,84.7325,19.558,0.0,top
R3,84.7325,22.606,0.0,top
R4,70.61,83.82,0.0,top
R5,73.15,83.82,180.0,top
R6,47.5,28.956,0.0,top
R7,60.2,28.956,0.0,top
R8,82.296,60.708,90.0,top
R9,82.296,50.548,90.0,top
U3,80.842,74.875,0.0,top
U5,86.5825,56.515,270.0,top
U6,86.5825,46.355,270.0,top
